id,form_type,title,product_id,language_id,qr_code_path,cropName,verityName,breederName,countryOrigin,registrationNumber,varietyType,seedCategory,precocity,fruitColor,fruitShape,leafLength,leafColor,plantHeight,plantHabit,bioticResistance,abioticResistance,InherentNutritionalValue,other,yield,otherRecommendations,otherRecommendationsPhoto,wholesalePrice,semiwholesalePrice,retailPrice,supplier_id,agent_id,created_by,created_at,updated_at,qr_code_url
94,seed_form,,8,1,qrcodes/seedform_94.png,21121,mp,"ABC Breeder",India,85,Hybrid,Vegetable,Early,Red,Round,Medium,Green,"60 cm",Upright,"Resistant to disease X","Drought tolerant","[""High Vitamin C"",""Rich in Lycopene""]",,"20-25 kg per plant","Plant in full sun",,2.00,2.00,2.00,1,1,1,"2025-11-07 12:00:47","2025-11-07 12:00:47",https://fivoflow.com/wclm/public/qrcodes/seedform_94.png
95,seed_form,,8,1,qrcodes/seedform_95.png,21121,mp,"ABC Breeder",India,85,Hybrid,Vegetable,Early,Red,Round,Medium,Green,"60 cm",Upright,"Resistant to disease X","Drought tolerant","[""Rich in Lycopene""]",N/A,"20-25 kg per plant","Plant in full sun",,2.00,2.00,2.00,1,1,1,"2025-11-07 12:01:20","2025-11-07 12:01:20",https://fivoflow.com/wclm/public/qrcodes/seedform_95.png
96,seed_form,,8,1,qrcodes/seedform_96.png,seed,seed,breeder,eth,2323,selfPollinated,breeder,12,red,oval,15,green,109,procumbent,biotic,other,"[""Rich in vitamin C"",""Rich in Beta-carotene""]",other,90,"other rec",,56.00,677.00,78.00,109,48,1,"2025-11-07 12:28:34","2025-11-07 12:28:34",https://fivoflow.com/wclm/public/qrcodes/seedform_96.png
97,seed_form,,8,1,qrcodes/seedform_97.png,seed,seed,breeder,eth,2323,selfPollinated,breeder,12,red,oval,15,green,109,procumbent,biotic,other,"[""Rich in Beta-carotene""]",other,90,"other rec",,56.00,677.00,78.00,109,48,1,"2025-11-07 12:29:45","2025-11-07 12:29:45",https://fivoflow.com/wclm/public/qrcodes/seedform_97.png
98,seed_form,,8,1,qrcodes/seedform_98.png,21121,mp,,,85,,,,,,,,,,,,"[""High Vitamin C""]",,,,uploads/seed_images/1762518856_690de748ce27a.jpg,2.00,2.00,2.00,,,,"2025-11-07 12:34:16","2025-11-07 12:34:16",https://fivoflow.com/wclm/public/qrcodes/seedform_98.png
99,seed_form,,8,1,qrcodes/seedform_99.png,21121,mp,,,85,,,,,,,,,,,,"[""[\"High Vitamin C\", \"High Vitamin C\"]""]",,,,uploads/seed_images/1762519180_690de88c173b4.jpg,2.00,2.00,2.00,,,,"2025-11-07 12:39:40","2025-11-07 12:39:40",https://fivoflow.com/wclm/public/qrcodes/seedform_99.png
100,seed_form,,8,1,qrcodes/seedform_100.png,21121,mp,,,85,,,,,,,,,,,,"[""\"High Vitamin C\", \"High Vitamin C\"""]",,,,uploads/seed_images/1762519200_690de8a05f5dc.jpg,2.00,2.00,2.00,,,,"2025-11-07 12:40:00","2025-11-07 12:40:00",https://fivoflow.com/wclm/public/qrcodes/seedform_100.png
101,seed_form,,8,1,qrcodes/seedform_101.png,21121,mp,"ABCsas Breeder",India,85,Hybrid,Vegetable,Early,Red,Round,Medium,Green,"60 cm",Upright,"Resistant to disease X","Drought tolerant","[""High Vitamin C"",""Rich in Lycopene""]",N/A,"20-25 kg per plant","Plant in full sun",/C:/Users/Admin/OneDrive/Desktop/1.jpg,2.00,2.00,2.00,1,1,1,"2025-11-07 12:43:07","2025-11-07 12:43:52",https://fivoflow.com/wclm/public/qrcodes/seedform_101.png
102,seed_form,,8,1,qrcodes/seedform_102.png,cropname,vvv,sfs,try,45t4,Hybrid,Dodd,45t4,red,def,4,ff,32,rhizomatous,ff,Doddr,"[""Rich in Beta-carotene, Rich in vitamin C""]",ffd,45,did,,55.00,22.00,666.00,109,48,1,"2025-11-07 13:00:41","2025-11-07 13:00:41",https://fivoflow.com/wclm/public/qrcodes/seedform_102.png
103,seed_form,,8,1,qrcodes/seedform_103.png,"crop n",var,crews,eth,12323,Hybrid,fed,123,red,oval,45,green,56,decumbent,Freddie,did,"[""Rich in Beta-carotene, Rich in vitamin C""]",text,56,no,uploads/seed_images/1762520520_690dedc8d29a2.jpg,56.00,78.00,78.00,109,48,1,"2025-11-07 13:02:00","2025-11-07 13:02:00",https://fivoflow.com/wclm/public/qrcodes/seedform_103.png
